year,age_p1,age_p2,gov_benefits,withdrawals,growth,nr_distributions,corp_dividends,tfsa_contributions,total_inflows,spending,taxes_paid,reinvestments,total_outflows,net_flow,cash_available,residual_vs_target
2025,77,62,8136.0,73292.61356592178,28855.056669563055,14094.545454545454,0.0,14000.0,138378.2156900303,90000.0,5515.606634468921,0.005540954531170428,95515.61217542345,42862.60351460686,90007.55238599832,0.0
2026,78,63,15249.204000000002,74973.56010097833,28382.054030794054,14069.950170397758,0.0,13999.994459045469,146674.76276121562,92700.0,602.9362031489732,0.008316459083289374,93302.94451960805,53371.81824160757,96739.29406822711,0.0
2027,79,64,15554.18808,78798.65805309727,28166.03187286377,13093.723843382219,0.0,13999.991683540917,149612.59353288417,95481.0,788.1175812453571,0.005664342941599898,96269.1232455883,53343.47028729587,99568.95871523413,0.0
2028,80,65,17242.595263780233,78312.12160484647,27915.564484390303,11953.333230527594,0.0,13999.994335657058,149423.60891920165,98345.43000000001,284.50756559578804,12340.790773817476,110970.72833941327,38452.88057978838,103178.12995777828,0.0
2029,81,66,17907.65541183815,82377.67822463828,28295.235355659966,10822.77879140152,0.0,0.005664342941599898,139403.3534478809,101295.79290000001,427.6972758577431,1659.2092261825237,103382.69940204028,36020.65404584061,106233.88608194204,0.0
2030,82,67,18642.543944017696,86713.80443475374,25725.581987052574,9512.501185161442,0.0,6999.994335657058,147594.42588664254,104334.666687,386.1156677687868,12839.35775997577,117560.14011474456,30034.28577189798,109570.5388207416,5235.872133741592
2031,83,68,18729.047661666664,89407.5431532044,23293.05643756673,9938.169759344331,0.0,0.9896823806139741,141368.80669416275,107464.70668761001,439.7049029878972,13096.143649927959,121000.55524052586,20368.251453636884,112910.96385552792,5446.257167917909
2032,84,69,18794.012530356755,92133.0847207565,20588.231908054797,10428.391319701277,0.0,6999.994335657058,148943.71481452638,110688.64788823832,505.6473265059017,13358.06684275488,124552.36205749911,24391.35275702727,116340.88367683832,5652.235788599995
2033,85,70,30538.59877019545,50493.435724557115,20013.72473811178,10942.013537671019,0.0,0.005664342941599898,111987.7784348783,76006.20488325699,0.0,23778.495980805055,99784.70086406203,12203.07757081627,76006.2053243723,0.0
2034,86,71,31149.370745599364,51954.73245769468,19687.727604222095,11481.238893059093,0.0,6999.994335657058,121273.06403623229,78286.3910297547,0.0,24098.46913648153,102384.86016623623,18888.203869996054,78298.14253414083,0.0
2035,87,72,31772.358160511354,53471.49082159261,19456.118610239944,12047.346763001617,0.0,0.005664342941599898,116747.32001968847,80634.98276064733,0.0,24411.390011695912,105046.37277234324,11700.947247345233,80678.25219164902,0.0
2036,88,73,32407.80532372158,55024.99581939334,18980.176795047384,12641.680485694164,0.0,6999.994335657058,126054.65275951353,83054.03224346676,0.0,24726.89827939999,107780.93052286675,18273.722236646776,83129.2792042834,0.0
2037,89,74,33055.96143019601,56508.147695224194,19274.801180583425,13265.65055836676,0.0,0.005664342941599898,122104.56652871333,85545.65321077076,0.0,25590.70743216359,111136.36064293435,10968.205885778982,85545.65321077076,0.0
2038,90,75,33717.08065879993,58624.8848473877,20064.55219275222,13399.845903382782,0.0,6999.994335657058,132806.3579379797,88112.02280709389,0.0,17540.94696233004,105652.96976942393,27153.388168555757,88112.02280709389,0.0
2039,91,76,34391.42227197593,61107.786788700156,21405.4165303408,13238.558805156681,0.0,0.005664342941599898,130143.19006051648,90755.38349130671,0.0,15344.219213543845,106099.60270485055,24043.587355665935,90755.38349130671,0.0
2040,92,77,35079.25071741545,63724.0705286853,22279.7843199478,13016.755811961728,0.0,6999.994335657058,141099.85571366735,93478.04499604591,0.0,15651.108917527497,109129.1539135734,31970.701800093942,93478.04499604591,0.0
2041,93,78,35780.83573176376,66482.98757628063,23701.17464938242,12727.435741139801,0.0,0.005664342941599898,138692.43936290953,96282.3863459273,0.0,15964.128518343336,112246.51486427063,26445.924498638895,96282.3863459273,0.0
2042,94,79,36496.45244639904,69394.54474085307,24654.347870619164,12362.910906375057,0.0,6999.994335657058,149908.2502999034,99170.85793630511,0.0,16283.408521325662,115454.26645763077,34453.98384227262,99170.85793630511,0.0
2043,95,80,37226.38149532702,72469.57185422737,26155.68392109192,11914.741485308372,0.0,0.005664342941599898,147766.38442029763,102145.98367439427,0.0,16609.079244889166,118755.06291928343,29011.3215010142,102145.98367439427,0.0
2044,96,81,37970.909125233564,75719.79432062233,27189.759890381407,11373.665122448063,0.0,6999.994335657058,159254.1227943424,105210.3631846261,0.0,16941.26266154251,122151.62584616861,37102.49694817379,105210.3631846261,0.0
2045,97,82,38730.32730773823,79157.91191122329,28772.741909486103,10729.520352554782,0.0,0.005664342941599898,157390.50714534533,108366.67408016488,0.0,17280.082410533672,125646.75649069855,31743.750654646778,108366.67408016488,0.0
2046,98,83,39504.933853892995,82797.68511054385,29888.95878890264,9971.162539311426,0.0,6999.994335657058,169162.73462830798,111617.67430256984,0.0,17625.687674919223,129243.36197748905,39919.37265081893,111617.67430256984,0.0
2047,99,84,40295.03253097086,86654.03027220577,31554.290373155276,9086.371073672335,0.0,0.005664342941599898,167589.72991434718,114966.20453164693,0.0,17978.201935118013,132944.40646676495,34645.323447582225,114966.20453164693,0.0
2048,100,85,41100.93318159028,90743.12133927892,32752.737058963387,8061.750078833176,0.0,6999.994335657058,179658.5359943228,118415.19066759634,0.0,18337.766071259473,136752.9567388558,42905.57925546699,118415.19066759634,0.0
2049,101,86,41922.95184522208,95082.50256237725,34499.80315660006,6882.618190773079,0.0,0.005664342941599898,178387.8814193154,121967.64638762425,0.0,18704.521216720845,140672.1676043451,37715.71381497031,121967.64638762425,0.0
2050,102,87,42761.410882126525,99691.21077563075,35779.06146508738,5532.888856458818,0.0,6999.994335657058,190764.56631496054,125626.67577925297,0.0,19078.608885746675,144705.28466499964,46059.2816499609,125626.67577925297,0.0
2051,103,88,43616.639099769054,104589.90880783866,37605.530888866786,3994.9395746852742,0.0,0.005664342941599898,189807.0240355027,129395.47605263056,0.0,19460.179694538914,148855.65574716948,40951.36828833321,129395.47605263056,0.0
2052,104,89,44488.97188176444,109801.03140077455,38962.234805689186,2249.468709926162,0.0,4806.572507442155,200308.2793055965,133277.3403342095,0.0,19849.383112588228,153126.72344679773,47181.55585879876,133277.3403342095,0.0
2053,105,90,45378.75131939973,115348.94400680017,39083.69416824835,275.33950945663776,0.0,0.0,200086.7290039049,137275.66054423578,0.0,20246.37049359661,157522.03103783238,42564.697966072534,137275.66054423578,0.0
2054,106,91,46286.32634578772,119316.4092797607,38310.26478117465,-6.883487736415944,0.0,6.883487736415944,203913.00040672306,141393.93036056284,0.0,20651.29790346854,162045.22826403138,41867.77214269168,141393.93036056284,0.0
2055,107,92,47212.052872703476,123109.65561147043,38329.658485561755,0.0,0.0,0.0,208651.36696973565,145635.74827137974,0.0,21064.32386153791,166700.07213291764,41951.29483681801,145635.74827137974,0.0
2056,108,93,48156.29393015755,127028.2062064136,38275.33948953239,0.0,0.0,0.0,213459.83962610352,150004.8207195211,0.0,21485.610338768674,171490.43105828977,41969.40856781375,150004.8207195211,0.0
2057,109,94,49119.41980876069,131068.8185377371,38141.387300115515,0.0,0.0,0.0,218329.6256466133,154504.96534110676,0.0,21915.32254554404,176420.2878866508,41909.33775996251,154504.96534110676,0.0
2058,110,95,50101.808204935915,135235.24456190295,37921.15687661466,0.0,0.0,0.0,223258.20964345353,159140.11430133999,0.0,22353.62899645492,181493.7432977949,41764.46634565864,159140.11430133999,0.0
